"ycoord"	"tumor"	"patient"
11	5	"tumor"
9	5	"non"
10	5	"tumor"
8	6	"tumor"
11	6	"tumor"
12	6	"tumor"
9	6	"non"
10	6	"tumor"
10	7	"tumor"
11	7	"tumor"
9	7	"tumor"
8	7	"non"
7	7	"tumor"
12	7	"tumor"
13	7	"tumor"
7	8	"non"
11	8	"tumor"
8	8	"non"
9	8	"tumor"
10	8	"tumor"
13	8	"tumor"
14	8	"tumor"
12	8	"tumor"
16	9	"tumor"
9	9	"non"
11	9	"tumor"
15	9	"non"
8	9	"non"
7	9	"non"
6	9	"non"
10	9	"tumor"
14	9	"tumor"
13	9	"tumor"
12	9	"non"
10	10	"tumor"
18	10	"tumor"
8	10	"non"
17	10	"tumor"
16	10	"tumor"
11	10	"tumor"
5	10	"non"
6	10	"non"
9	10	"tumor"
7	10	"non"
15	10	"tumor"
13	10	"tumor"
12	10	"non"
14	10	"tumor"
18	11	"non"
16	11	"tumor"
4	11	"non"
5	11	"non"
10	11	"tumor"
15	11	"non"
8	11	"non"
17	11	"tumor"
9	11	"non"
19	11	"non"
12	11	"tumor"
6	11	"non"
13	11	"tumor"
14	11	"tumor"
7	11	"non"
10	12	"non"
11	12	"non"
16	12	"non"
21	12	"non"
7	12	"non"
18	12	"tumor"
8	12	"non"
19	12	"non"
15	12	"non"
17	12	"tumor"
9	12	"non"
5	12	"non"
13	12	"tumor"
3	12	"non"
14	12	"non"
4	12	"non"
12	12	"non"
6	12	"non"
22	13	"non"
19	13	"non"
11	13	"tumor"
18	13	"non"
20	13	"non"
21	13	"non"
5	13	"non"
7	13	"non"
10	13	"non"
16	13	"non"
9	13	"non"
4	13	"non"
6	13	"non"
8	13	"non"
17	13	"non"
3	13	"non"
12	13	"tumor"
14	13	"tumor"
13	13	"tumor"
15	13	"tumor"
18	14	"non"
21	14	"non"
22	14	"non"
20	14	"non"
10	14	"non"
19	14	"non"
11	14	"non"
7	14	"non"
8	14	"non"
16	14	"tumor"
5	14	"non"
6	14	"non"
12	14	"non"
17	14	"tumor"
13	14	"tumor"
15	14	"tumor"
23	14	"non"
4	14	"tumor"
9	14	"non"
2	14	"non"
14	14	"non"
3	14	"non"
12	15	"non"
19	15	"non"
21	15	"non"
22	15	"non"
20	15	"non"
10	15	"non"
25	15	"non"
15	15	"tumor"
11	15	"non"
16	15	"tumor"
18	15	"non"
23	15	"non"
13	15	"non"
24	15	"non"
5	15	"tumor"
6	15	"tumor"
14	15	"tumor"
8	15	"tumor"
7	15	"tumor"
17	15	"non"
2	15	"non"
4	15	"tumor"
3	15	"non"
9	15	"non"
10	16	"non"
27	16	"non"
18	16	"non"
19	16	"non"
9	16	"non"
20	16	"non"
21	16	"non"
4	16	"tumor"
11	16	"non"
26	16	"non"
16	16	"non"
22	16	"non"
25	16	"non"
5	16	"tumor"
17	16	"non"
24	16	"non"
13	16	"non"
15	16	"non"
12	16	"non"
14	16	"non"
3	16	"tumor"
7	16	"tumor"
8	16	"non"
23	16	"non"
2	16	"tumor"
6	16	"tumor"
10	17	"tumor"
20	17	"non"
22	17	"non"
27	17	"non"
19	17	"non"
21	17	"non"
11	17	"non"
28	17	"non"
9	17	"tumor"
16	17	"non"
7	17	"tumor"
18	17	"non"
26	17	"non"
6	17	"non"
15	17	"non"
17	17	"non"
5	17	"non"
24	17	"non"
25	17	"non"
14	17	"non"
13	17	"non"
4	17	"tumor"
12	17	"non"
3	17	"tumor"
8	17	"tumor"
23	17	"non"
2	17	"tumor"
29	18	"non"
22	18	"non"
11	18	"non"
21	18	"non"
30	18	"non"
16	18	"tumor"
28	18	"non"
5	18	"non"
27	18	"non"
19	18	"non"
20	18	"non"
15	18	"non"
25	18	"non"
10	18	"tumor"
17	18	"non"
26	18	"non"
24	18	"non"
4	18	"tumor"
6	18	"non"
23	18	"non"
13	18	"non"
9	18	"tumor"
14	18	"non"
12	18	"non"
3	18	"non"
8	18	"tumor"
28	19	"non"
29	19	"non"
31	19	"non"
17	19	"non"
30	19	"non"
23	19	"non"
22	19	"non"
21	19	"tumor"
27	19	"non"
18	19	"non"
16	19	"non"
19	19	"tumor"
26	19	"non"
10	19	"tumor"
3	19	"tumor"
9	19	"tumor"
15	19	"non"
20	19	"non"
11	19	"non"
24	19	"non"
5	19	"tumor"
8	19	"non"
2	19	"tumor"
7	19	"non"
6	19	"tumor"
12	19	"non"
14	19	"non"
25	19	"non"
13	19	"non"
4	19	"tumor"
29	20	"non"
30	20	"non"
31	20	"non"
21	20	"non"
22	20	"non"
28	20	"non"
32	20	"tumor"
10	20	"non"
27	20	"non"
11	20	"non"
20	20	"non"
26	20	"non"
18	20	"non"
16	20	"non"
17	20	"non"
23	20	"non"
24	20	"non"
8	20	"non"
9	20	"tumor"
5	20	"tumor"
25	20	"non"
6	20	"tumor"
19	20	"tumor"
4	20	"tumor"
7	20	"tumor"
12	20	"non"
2	20	"non"
15	20	"non"
13	20	"non"
14	20	"tumor"
3	20	"tumor"
8	21	"tumor"
30	21	"non"
21	21	"non"
22	21	"non"
9	21	"non"
17	21	"non"
29	21	"non"
32	21	"non"
20	21	"tumor"
27	21	"non"
31	21	"non"
11	21	"non"
28	21	"non"
19	21	"non"
18	21	"non"
26	21	"non"
7	21	"tumor"
23	21	"non"
16	21	"non"
13	21	"non"
15	21	"non"
3	21	"tumor"
5	21	"tumor"
24	21	"non"
25	21	"non"
12	21	"tumor"
